"product_id","name","category","name_telugu","name_hindi","description","unit","price","mrp","image_url","source_url"
"d5407c7a-353f-4479-a169-6e3c548c58b0","White Eggs Tray (30 pcs)","Groceries","గుడ్లు","अंडे","Fresh hen eggs packed in a convenient tray of 30 pieces. Ideal for everyday cook","piece","169.00","169.00","https://digirythubazaarap.com/images/groceries/bea373d8-25fc-4a23-9d4a-8eefb772f889_91c237ba8a37a8a818ae98dfb141f599.jpg","https://digirythubazaarap.com/Products?search=White%20Eggs%20Tray%20(30%20pcs)"
"881816ca-44c5-47f0-86e2-967099904dd6","Toor Dal -Sampoorna Naturals","Groceries","కందిపప్పు","तूर दाल","Toor Dal is a staple lentil widely used in Indian households for its rich flavor","kg","250.00","255.00","https://digirythubazaarap.com/images/groceries/15adba20-bb05-4064-97e2-978c4c734e7d_sampoorna_toor_dal%20(1).png","https://digirythubazaarap.com/Products?search=Toor%20Dal%20-Sampoorna%20Naturals"
"58593db3-e3ce-4d5d-b179-1be5a100342e","Moong Dal - Sampoorna Naturals","Groceries","పెసర పప్పు","मूंग दाल","Moong Dal is an excellent source of protein, dietary fiber, vitamins, and essent","kg","200.00","205.00","https://digirythubazaarap.com/images/groceries/baf93577-709b-459d-9447-7d12de1dd08c_ampoorna_pesarapappu1%20(1).png","https://digirythubazaarap.com/Products?search=Moong%20Dal%20-%20Sampoorna%20Naturals"
"6aa01156-138c-48ed-a7c2-1f2bbb567823","Multi Millet Powder - Sampoorna Naturals","Groceries","మల్టీ మిల్లెట్ పిండి","मल्टी मिलेट आटा","Multi Millet Powder is a nutritious blend of carefully selected millets, finely","kg","200.00","205.00","https://digirythubazaarap.com/images/groceries/ea5acf1a-559b-4c2f-b67f-b1d21ee15988_sampoorna_multimillet_powder%20(1).png","https://digirythubazaarap.com/Products?search=Multi%20Millet%20Powder%20-%20Sampoorna%20Naturals"
"11428669-1ea3-4bd0-920a-c60f627da11f","Multi Millet Ravva - Sampoorna Naturals","Groceries","మల్టీ మిల్లెట్ రవ్వ","मल्टी मिलेट रवा","Multi Millet Ravva is a wholesome blend of carefully selected millets, coarsely","kg","230.00","235.00","https://digirythubazaarap.com/images/groceries/e644ef85-94ef-4b9a-9ae6-1e8dfe538e42_sampoorna_multimillet_ravva%20(1).png","https://digirythubazaarap.com/Products?search=Multi%20Millet%20Ravva%20-%20Sampoorna%20Naturals"
"fc040496-8b6b-4375-940f-cffce553a3ab","Mugada Thallemma Jaggery Powder","Groceries","బెల్లం పొడి","गुड़ पाउडर","Mugada Thallemma Naturals Jaggery Powder & Jaggery Cubes are made from naturally","kg","200.00","210.00","https://digirythubazaarap.com/images/groceries/a5815945-28e6-48b7-a540-fe7987236675_ChatGPT%20Image%20Jul%2022,%202026,%2011_30_58%20PM%20(1).png","https://digirythubazaarap.com/Products?search=Mugada%20Thallemma%20Jaggery%20Powder"
"a9a5ee8f-788e-4368-ba58-3c6f0751a5fd","Mugada Thallemma Black Gram","Groceries","మినపప్పు","उड़द दाल","Mugada Thallemma Naturals Minapappu (Black Gram/Urad Dal) is naturally cultivate","kg","160.00","165.00","https://digirythubazaarap.com/images/groceries/a0047f67-921c-40fd-9094-167876f8a6a0_ChatGPT%20Image%20Jul%2022,%202026,%2011_15_31%20PM%20(1).png","https://digirythubazaarap.com/Products?search=Mugada%20Thallemma%20Black%20Gram"
"d597d83b-c194-4b87-90e1-0867d471794e","Mugada Thallemma Green Dal","Groceries","పెసర పప్పు","मूंग दाल","Mugada Thallemma Naturals pesarapappu (split green gram) is a wholesome, unpolis","kg","160.00","165.00","https://digirythubazaarap.com/images/groceries/cd3b237c-5c12-4001-8ae9-6fee096b4414_ChatGPT%20Image%20Jul%2022,%202026,%2011_06_54%20PM%20(1).png","https://digirythubazaarap.com/Products?search=Mugada%20Thallemma%20Green%20Dal"
"a8ebd20d-5c2c-41b0-9bc0-30019e53a1a8","Mugada Thallemma Jaggery Cubes","Groceries","బెల్లం ముక్కలు","गुड़ के टुकड़े","Mugada Thallema Naturals Jagery Cubes  offer a 100% natural, chemical-free, and","kg","200.00","210.00","https://digirythubazaarap.com/images/groceries/0cacc0bd-75b5-44b4-a9ec-e7c059a24cc1_ChatGPT%20Image%20Jul%2022,%202026,%2010_58_34%20PM%20(1).png","https://digirythubazaarap.com/Products?search=Mugada%20Thallemma%20Jaggery%20Cubes"
"b4d1c97c-af70-42c3-b10b-24066a613117","Mugada Thallemma Sesame","Groceries","నువ్వులు","तिल के बीज","Mugada Thallemma Naturals sesame seeds are highly nutritious seeds are powerhous","kg","250.00","260.00","https://digirythubazaarap.com/images/groceries/e363a65f-23ac-4040-bc9b-bb909f55993d_mugada%20thallema%20sesame%20(1).png","https://digirythubazaarap.com/Products?search=Mugada%20Thallemma%20Sesame"
"56ad3416-30e9-4b02-8fa1-b51d93c8dd94","Aaradhya Multi Millet Powder","Groceries","మల్టీ మిల్లెట్ పిండి","मल्टी मिलेट आटा","Aaradhya Naturals Multi Millet Powder is a nutritious blend of carefully selecte","kg","299.00","309.00","https://digirythubazaarap.com/images/groceries/0f5ee800-0a1d-45a5-a362-a270f428ab19_aaradhya_nat_multi.png","https://digirythubazaarap.com/Products?search=Aaradhya%20Multi%20Millet%20Powder"
"fb3057e3-ccb4-4b3d-9cc7-cd0c5b013606","Gomatha Millet Noodles","Groceries","చిరుధాన్యాల నూడుల్స్","मिलेट नूडल्स","Millet Noodles are a healthy alternative to regular noodles, made from nutritiou","kg","100.00","100.00","https://digirythubazaarap.com/images/groceries/4a9149e2-6a51-41f2-beb4-1d19379cbdb6_ChatGPT%20Image%20Jul%2017,%202026,%2006_39_09%20PM%20(2).png","https://digirythubazaarap.com/Products?search=Gomatha%20Millet%20Noodles"
"10afdda8-759e-4f7a-a4a8-94fc03fcbb8d","Gomatha Green Gram","Groceries","పెసలు","मूंग दाल ","Green gram, also known as mung bean, is a nutritious pulse rich in protein, diet","kg","230.00","230.00","https://digirythubazaarap.com/images/groceries/953f2b71-e3f6-4225-b5cc-6975d14be2d8_green%20gram%20(1).png","https://digirythubazaarap.com/Products?search=Gomatha%20Green%20Gram"
"36d33b3c-f7b2-4a9c-9f91-ce6389707a3b","Gomatha Sorghum Rava","Groceries","జొన్న రవ్వ","ज्वार रवा","Sorghum Rava is made from finely broken jowar grains and is naturally gluten-fre","kg","180.00","180.00","https://digirythubazaarap.com/images/groceries/a16f56cf-9123-4682-96d9-457321cdbb46_ChatGPT%20Image%20Jul%2017,%202026,%2003_54_34%20PM%20(1).png","https://digirythubazaarap.com/Products?search=Gomatha%20Sorghum%20Rava"
"05e6d50f-f2de-449f-892a-c0a2d644d5fe","Gomatha Foxtail Millet Ravva","Groceries","రాగి రవ్వ","रागी रवा","Finger Millet Rava is made from coarsely ground ragi grains. Rich in calcium, ir","kg","200.00","200.00","https://digirythubazaarap.com/images/groceries/4d49a17f-3448-443c-8384-c52899df1218_ChatGPT%20Image%20Jul%2017,%202026,%2003_48_05%20PM%20(2).png","https://digirythubazaarap.com/Products?search=Gomatha%20Foxtail%20Millet%20Ravva"
"2635dc31-b9f7-40ab-a0b2-42b8dfde5669","Gomatha Ragi Flour","Groceries","రాగి రవ్వ","रागी रवा","Finger Millet Rava is made from coarsely ground ragi grains. Rich in calcium, ir","kg","100.00","100.00","https://digirythubazaarap.com/images/groceries/4c56955e-fa70-47e8-a2b7-fb3ebe1668fd_ChatGPT%20Image%20Jul%2017,%202026,%2003_20_25%20PM%20(1).png","https://digirythubazaarap.com/Products?search=Gomatha%20Ragi%20Flour"
"8e7b312e-b3ea-4162-878e-26f72b0bafb0","Gomatha Millet Ravva Dosa Mix","Groceries","చిరుధాన్యాల రవ్వ దోస మిక్స్","मिलेट रवा डोसा मिक्स","Millet Ravva Dosa Mix is a convenient blend made from nutritious millets and sem","kg","300.00","300.00","https://digirythubazaarap.com/images/groceries/251c9702-d3e7-4306-afc9-78b0230e5471_ChatGPT%20Image%20Jul%2017,%202026,%2003_16_27%20PM%20(1).png","https://digirythubazaarap.com/Products?search=Gomatha%20Millet%20Ravva%20Dosa%20Mix"
"04a13cc2-abd6-4d24-a1ad-671816a6be60","Gomatha Finger Millet Flour (Ragi Flour)","Groceries","రాగి పిండి","रागी का आटा","Finger millet flour, also known as ragi flour, is made by grinding whole finger","kg","180.00","180.00","https://digirythubazaarap.com/images/groceries/7fc0eede-4d1b-4d32-9ad4-7a15ebc1c520_Jul%2017,%202026,%2003_12_45%20PM%20(1).png","https://digirythubazaarap.com/Products?search=Gomatha%20Finger%20Millet%20Flour%20(Ragi%20Flour)"
"377aa643-674b-4451-930d-96abbddacdb9","Gomatha Split Black Gram","Groceries","పొట్టు మినపప్పు","छिलके वाली उड़द दाल","Pottu Minapappu is split black gram with its natural skin retained.","kg","180.00","190.00","https://digirythubazaarap.com/images/groceries/fd8f1910-e36d-4d00-9fd5-0c047ccd4395_pottu_minappappu.png","https://digirythubazaarap.com/Products?search=Gomatha%20Split%20Black%20Gram"
"534f5a1c-5910-4ca4-8978-98bf7df1475e","Gomatha Millet Chapathi Mix","Groceries","చిరుధాన్యాల చపాతీ మిక్స్","मिलेट चपाती मिक्स","Millet Chapathi Mix is a healthy flour blend made from nutritious millets and ot","kg","180.00","190.00","https://digirythubazaarap.com/images/groceries/9f545f47-4f05-43f2-8c0e-6d717e521366_multi_millet_atta1.png","https://digirythubazaarap.com/Products?search=Gomatha%20Millet%20Chapathi%20Mix"
